CountryISO2Code,Country,LocationCode,LocationName,NotificationRate,NotificationRateGeoLevel,VaccineUptake,VaccineGeoLevel,TestingRate,TestingGeoLevel,WeightedRate,Colour,Week
NL,Netherlands,NL33,Zuid-Holland,3496.889538,Regional,70.70878011,National,5987.326789,National,2260.585571,Dark Red,2022-03
NL,Netherlands,NL34,Zeeland,3137.516689,Regional,70.70878011,National,5987.326789,National,2028.266801,Dark Red,2022-03
NL,Netherlands,NL41,Noord-Brabant,2904.772031,Regional,70.70878011,National,5987.326789,National,1877.807597,Dark Red,2022-03
NL,Netherlands,NL42,Limburg (NL),2108.483612,Regional,70.70878011,National,5987.326789,National,1363.042092,Dark Red,2022-03
NO,Norway,NOCSR03,Oslo,5815.105914,Regional,74.16679397,National,10438.99975,Regional,3658.667103,Dark Red,2022-03
NO,Norway,NOCSR11,Rogaland,3049.065077,Regional,74.16679397,National,5127.04613,Regional,1918.36817,Dark Red,2022-03
NO,Norway,NOCSR15,Møre og Romsdal,1369.58901,Regional,74.16679397,National,4143.487942,Regional,861.6988804,Dark Red,2022-03
NO,Norway,NOCSR18,Nordland,1747.437285,Regional,74.16679397,National,3179.336379,Regional,1099.428179,Dark Red,2022-03
NO,Norway,NOCSR30,Viken,4782.022399,Regional,74.16679397,National,7773.617805,Regional,3008.686049,Dark Red,2022-03
NO,Norway,NOCSR34,Innlandet,2559.465738,Regional,74.16679397,National,5706.177538,Regional,1610.328898,Dark Red,2022-03
NO,Norway,NOCSR38,Vestfold og Telemark,3359.26035,Regional,74.16679397,National,7154.468041,Regional,2113.532498,Dark Red,2022-03
NO,Norway,NOCSR42,Agder,3299.000144,Regional,74.16679397,National,4865.943311,Regional,2075.618824,Dark Red,2022-03
NO,Norway,NOCSR46,Vestland,2186.957545,Regional,74.16679397,National,4484.479172,Regional,1375.959397,Dark Red,2022-03
NO,Norway,NOCSR50,Trøndelag,3246.326514,Regional,74.16679397,National,4821.168557,Regional,2042.478365,Dark Red,2022-03
